Epoch: 001, Train Acc: 0.2065, Test Acc: 0.1818
Epoch: 002, Train Acc: 0.2463, Test Acc: 0.1818
Epoch: 003, Train Acc: 0.2736, Test Acc: 0.2374
Epoch: 004, Train Acc: 0.2090, Test Acc: 0.1768
Epoch: 005, Train Acc: 0.2338, Test Acc: 0.1414
Epoch: 006, Train Acc: 0.2438, Test Acc: 0.2172
Epoch: 007, Train Acc: 0.2985, Test Acc: 0.2424
Epoch: 008, Train Acc: 0.2985, Test Acc: 0.2677
Epoch: 009, Train Acc: 0.2811, Test Acc: 0.2222
Epoch: 010, Train Acc: 0.2736, Test Acc: 0.2424
Epoch: 011, Train Acc: 0.2836, Test Acc: 0.2525
Epoch: 012, Train Acc: 0.2985, Test Acc: 0.2475
Epoch: 013, Train Acc: 0.3109, Test Acc: 0.2879
Epoch: 014, Train Acc: 0.2736, Test Acc: 0.2576
Epoch: 015, Train Acc: 0.3035, Test Acc: 0.2576
Epoch: 016, Train Acc: 0.3060, Test Acc: 0.2576
Epoch: 017, Train Acc: 0.2836, Test Acc: 0.2626
Epoch: 018, Train Acc: 0.2861, Test Acc: 0.2374
Epoch: 019, Train Acc: 0.2935, Test Acc: 0.2374
Epoch: 020, Train Acc: 0.2985, Test Acc: 0.2525
Epoch: 021, Train Acc: 0.3234, Test Acc: 0.2323
Epoch: 022, Train Acc: 0.3085, Test Acc: 0.2828
Epoch: 023, Train Acc: 0.2861, Test Acc: 0.2525
Epoch: 024, Train Acc: 0.2960, Test Acc: 0.2475
Epoch: 025, Train Acc: 0.2935, Test Acc: 0.2374
Epoch: 026, Train Acc: 0.2637, Test Acc: 0.2172
Epoch: 027, Train Acc: 0.3035, Test Acc: 0.2475
Epoch: 028, Train Acc: 0.2960, Test Acc: 0.2273
Epoch: 029, Train Acc: 0.2761, Test Acc: 0.1616
Epoch: 030, Train Acc: 0.3184, Test Acc: 0.2424
Epoch: 031, Train Acc: 0.2786, Test Acc: 0.2778
Epoch: 032, Train Acc: 0.3035, Test Acc: 0.2273
Epoch: 033, Train Acc: 0.2861, Test Acc: 0.2525
Epoch: 034, Train Acc: 0.3085, Test Acc: 0.2323
Epoch: 035, Train Acc: 0.2985, Test Acc: 0.2424
Epoch: 036, Train Acc: 0.2935, Test Acc: 0.2172
Epoch: 037, Train Acc: 0.3308, Test Acc: 0.2374
Epoch: 038, Train Acc: 0.3159, Test Acc: 0.2374
Epoch: 039, Train Acc: 0.3209, Test Acc: 0.2424
Epoch: 040, Train Acc: 0.3358, Test Acc: 0.2525
Epoch: 041, Train Acc: 0.3308, Test Acc: 0.2172
Epoch: 042, Train Acc: 0.2985, Test Acc: 0.2172
Epoch: 043, Train Acc: 0.3383, Test Acc: 0.2273
Epoch: 044, Train Acc: 0.3358, Test Acc: 0.2121
Epoch: 045, Train Acc: 0.3259, Test Acc: 0.2323
Epoch: 046, Train Acc: 0.3159, Test Acc: 0.2576
Epoch: 047, Train Acc: 0.3284, Test Acc: 0.2525
Epoch: 048, Train Acc: 0.3657, Test Acc: 0.2323
Epoch: 049, Train Acc: 0.3532, Test Acc: 0.2525
Epoch: 050, Train Acc: 0.2910, Test Acc: 0.2374
Epoch: 051, Train Acc: 0.3333, Test Acc: 0.2172
Epoch: 052, Train Acc: 0.3433, Test Acc: 0.2626
Epoch: 053, Train Acc: 0.3433, Test Acc: 0.2374
Epoch: 054, Train Acc: 0.3433, Test Acc: 0.2424
Epoch: 055, Train Acc: 0.3507, Test Acc: 0.2929
Epoch: 056, Train Acc: 0.3507, Test Acc: 0.2677
Epoch: 057, Train Acc: 0.3408, Test Acc: 0.2323
Epoch: 058, Train Acc: 0.3234, Test Acc: 0.2424
Epoch: 059, Train Acc: 0.3408, Test Acc: 0.2626
Epoch: 060, Train Acc: 0.3358, Test Acc: 0.2929
Epoch: 061, Train Acc: 0.3234, Test Acc: 0.2475
Epoch: 062, Train Acc: 0.3408, Test Acc: 0.2222
Epoch: 063, Train Acc: 0.3507, Test Acc: 0.2879
Epoch: 064, Train Acc: 0.3632, Test Acc: 0.2727
Epoch: 065, Train Acc: 0.3085, Test Acc: 0.2323
Epoch: 066, Train Acc: 0.3458, Test Acc: 0.2929
Epoch: 067, Train Acc: 0.3159, Test Acc: 0.2374
Epoch: 068, Train Acc: 0.3383, Test Acc: 0.2374
Epoch: 069, Train Acc: 0.3483, Test Acc: 0.2626
Epoch: 070, Train Acc: 0.3483, Test Acc: 0.2525
Epoch: 071, Train Acc: 0.3284, Test Acc: 0.2525
Epoch: 072, Train Acc: 0.3557, Test Acc: 0.2374
Epoch: 073, Train Acc: 0.3632, Test Acc: 0.2424
Epoch: 074, Train Acc: 0.3458, Test Acc: 0.2626
Epoch: 075, Train Acc: 0.3557, Test Acc: 0.2222
Epoch: 076, Train Acc: 0.3532, Test Acc: 0.2778
Epoch: 077, Train Acc: 0.3607, Test Acc: 0.2828
Epoch: 078, Train Acc: 0.3557, Test Acc: 0.2172
Epoch: 079, Train Acc: 0.3383, Test Acc: 0.2626
Epoch: 080, Train Acc: 0.3259, Test Acc: 0.2677
Epoch: 081, Train Acc: 0.3433, Test Acc: 0.2879
Epoch: 082, Train Acc: 0.3308, Test Acc: 0.2525
Epoch: 083, Train Acc: 0.3507, Test Acc: 0.2778
Epoch: 084, Train Acc: 0.3308, Test Acc: 0.3030
Epoch: 085, Train Acc: 0.3483, Test Acc: 0.2323
Epoch: 086, Train Acc: 0.3308, Test Acc: 0.2374
Epoch: 087, Train Acc: 0.3532, Test Acc: 0.2879
Epoch: 088, Train Acc: 0.3209, Test Acc: 0.2626
Epoch: 089, Train Acc: 0.3557, Test Acc: 0.2424
Epoch: 090, Train Acc: 0.3607, Test Acc: 0.2778
Epoch: 091, Train Acc: 0.3383, Test Acc: 0.2525
Epoch: 092, Train Acc: 0.3632, Test Acc: 0.2475
Epoch: 093, Train Acc: 0.3483, Test Acc: 0.2626
Epoch: 094, Train Acc: 0.3433, Test Acc: 0.2576
Epoch: 095, Train Acc: 0.3557, Test Acc: 0.2677
Epoch: 096, Train Acc: 0.3507, Test Acc: 0.2323
Epoch: 097, Train Acc: 0.3458, Test Acc: 0.2828
Epoch: 098, Train Acc: 0.3532, Test Acc: 0.2778
Epoch: 099, Train Acc: 0.3532, Test Acc: 0.2525
Epoch: 100, Train Acc: 0.3607, Test Acc: 0.2879
Epoch: 101, Train Acc: 0.3532, Test Acc: 0.2727
Epoch: 102, Train Acc: 0.3532, Test Acc: 0.2929
Epoch: 103, Train Acc: 0.3383, Test Acc: 0.2475
Epoch: 104, Train Acc: 0.3582, Test Acc: 0.2778
Epoch: 105, Train Acc: 0.3408, Test Acc: 0.2475
Epoch: 106, Train Acc: 0.3557, Test Acc: 0.2828
Epoch: 107, Train Acc: 0.3507, Test Acc: 0.2778
Epoch: 108, Train Acc: 0.3507, Test Acc: 0.2980
Epoch: 109, Train Acc: 0.3582, Test Acc: 0.2424
Epoch: 110, Train Acc: 0.3657, Test Acc: 0.2778
Epoch: 111, Train Acc: 0.3632, Test Acc: 0.2727
Epoch: 112, Train Acc: 0.3657, Test Acc: 0.2677
Epoch: 113, Train Acc: 0.3458, Test Acc: 0.2727
Epoch: 114, Train Acc: 0.3582, Test Acc: 0.2727
Epoch: 115, Train Acc: 0.3557, Test Acc: 0.2424
Epoch: 116, Train Acc: 0.3607, Test Acc: 0.2727
Epoch: 117, Train Acc: 0.3557, Test Acc: 0.2626
Epoch: 118, Train Acc: 0.3483, Test Acc: 0.2525
Epoch: 119, Train Acc: 0.3532, Test Acc: 0.2475
Epoch: 120, Train Acc: 0.3532, Test Acc: 0.2879
