Epoch: 101, Train Acc: 0.3209, Test Acc: 0.2222
Epoch: 102, Train Acc: 0.3333, Test Acc: 0.2374
Epoch: 103, Train Acc: 0.3234, Test Acc: 0.2121
Epoch: 104, Train Acc: 0.3358, Test Acc: 0.2323
Epoch: 105, Train Acc: 0.3159, Test Acc: 0.1970
Epoch: 106, Train Acc: 0.3035, Test Acc: 0.2374
Epoch: 107, Train Acc: 0.3134, Test Acc: 0.1970
Epoch: 108, Train Acc: 0.3159, Test Acc: 0.2727
Epoch: 109, Train Acc: 0.3458, Test Acc: 0.2222
Epoch: 110, Train Acc: 0.2910, Test Acc: 0.2323
Epoch: 111, Train Acc: 0.3184, Test Acc: 0.2020
Epoch: 112, Train Acc: 0.3259, Test Acc: 0.2424
Epoch: 113, Train Acc: 0.3085, Test Acc: 0.2222
Epoch: 114, Train Acc: 0.3234, Test Acc: 0.2323
Epoch: 115, Train Acc: 0.3259, Test Acc: 0.2222
Epoch: 116, Train Acc: 0.3234, Test Acc: 0.2323
Epoch: 117, Train Acc: 0.3483, Test Acc: 0.2172
Epoch: 118, Train Acc: 0.3433, Test Acc: 0.2172
Epoch: 119, Train Acc: 0.3756, Test Acc: 0.2525
Epoch: 120, Train Acc: 0.3483, Test Acc: 0.2374
